community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0618,154,141,69,63,0.9,access_connectivity,0.7042,0.0584,0.039,Relevance to Higher Level Objectives,0.3413,0.2837,0.7223,REF005,0.4041,shortlist,,20260918T0131-7dd1a33,discover-1
c0433,153,136,51,46,0.6571,access_connectivity,0.8376,0.0131,0.0784,Project Components,0.2338,0.3093,0.6693,REF059,0.3142,shortlist,,20260918T0131-7dd1a33,discover-1
c0655,153,132,71,55,0.7857,dpi,0.7958,0.0065,0.8627,Implementation Arrangements and Support Plan,0.3428,0.2709,0.705,REF005,0.4264,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0479,152,139,76,45,0.6429,dpi,0.778,0.0132,0.3882,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,0.3571,0.329,0.686,REF036,0.2987,shortlist,,20260918T0131-7dd1a33,discover-1
c0619,152,138,53,43,0.6143,access_connectivity,0.8173,0.0197,0.1053,Project Components,0.2721,0.3167,0.7497,REF005,0.4039,shortlist,,20260918T0131-7dd1a33,discover-1
c0749,151,111,52,48,0.6857,access_connectivity,0.7075,0.0066,0.1258,Sectoral and Institutional Context,0.2462,0.2686,0.6912,REF061,0.5462,shortlist,,20260918T0131-7dd1a33,discover-1
c0366,148,112,68,55,0.7857,dpi,0.0,0.277,0.9595,Implementation Arrangements and Support Plan,0.3683,0.2385,0.7908,REF079,0.3883,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0152,147,144,60,56,0.8,cybersecurity,0.8608,0.0,0.4898,KEY RISKS,0.3068,0.5248,0.7465,REF030,0.514,shortlist,,20260918T0131-7dd1a33,discover-1
c0511,141,121,64,34,0.4857,access_connectivity,0.7079,0.0,0.6099,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,0.322,0.3443,0.7346,REF045,0.3114,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0658,140,133,62,52,0.7429,access_connectivity,0.5917,0.0071,0.8786,Implementation Arrangements and Support Plan,0.3227,0.3166,0.7599,REF009,0.3518,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0336,139,131,64,51,0.7286,dpi,0.7671,0.1655,0.1583,Project Components,0.3331,0.3128,0.7598,REF030,0.3416,shortlist,,20260918T0131-7dd1a33,discover-1
c0439,139,126,60,50,0.7143,cybersecurity,0.7575,0.0,0.3022,Project Components,0.288,0.3389,0.7009,REF043,0.494,shortlist,,20260918T0131-7dd1a33,discover-1
c0742,139,83,29,28,0.4,cybersecurity,0.5943,0.0072,0.1295,Sectoral and Institutional Context,0.1341,0.3173,0.6752,REF011,0.5092,shortlist,,20260918T0131-7dd1a33,discover-1
c0363,138,96,48,44,0.6286,drm_ews,0.7997,0.0072,0.029,Sectoral and Institutional Context,0.2284,0.7071,0.6947,REF041,0.6737,shortlist,,20260918T0131-7dd1a33,discover-1
c0290,137,129,74,52,0.7429,dpi,0.694,0.0,0.2336,Sectoral and Institutional Context,0.323,0.36,0.6373,REF036,0.2879,shortlist,,20260918T0131-7dd1a33,discover-1
