community_id,size,top_section,junk_section_share,n_projects,verdict_reason,run_id
c0656,29,Implementation Arrangements and Support Plan,1.0,20,junk_section_share>=0.6,20260918T0131-7dd1a33
c0657,27,Implementation Arrangements and Support Plan,0.963,25,junk_section_share>=0.6,20260918T0131-7dd1a33
c0658,140,Implementation Arrangements and Support Plan,0.8786,52,junk_section_share>=0.6,20260918T0131-7dd1a33
c0659,39,Implementation Arrangements and Support Plan,1.0,24,junk_section_share>=0.6,20260918T0131-7dd1a33
c0660,109,Implementation Arrangements and Support Plan,0.9541,47,junk_section_share>=0.6,20260918T0131-7dd1a33
c0662,29,Implementation Arrangements and Support Plan,0.8621,15,junk_section_share>=0.6,20260918T0131-7dd1a33
c0663,66,Implementation Arrangements and Support Plan,0.9545,36,junk_section_share>=0.6,20260918T0131-7dd1a33
c0664,29,Implementation Arrangements and Support Plan,0.9655,20,junk_section_share>=0.6,20260918T0131-7dd1a33
c0666,44,Implementation Arrangements and Support Plan,1.0,26,junk_section_share>=0.6,20260918T0131-7dd1a33
c0667,47,Implementation Arrangements and Support Plan,0.9574,28,junk_section_share>=0.6,20260918T0131-7dd1a33
c0668,168,Implementation Arrangements and Support Plan,0.9524,57,junk_section_share>=0.6,20260918T0131-7dd1a33
c0672,37,Implementation Arrangements and Support Plan,1.0,26,junk_section_share>=0.6,20260918T0131-7dd1a33
c0676,61,Implementation Arrangements and Support Plan,0.9344,34,junk_section_share>=0.6,20260918T0131-7dd1a33
c0683,117,Implementation Arrangements and Support Plan,0.9744,56,junk_section_share>=0.6,20260918T0131-7dd1a33
c0684,78,Implementation Arrangements and Support Plan,1.0,48,junk_section_share>=0.6,20260918T0131-7dd1a33
c0685,164,Implementation Arrangements and Support Plan,0.811,52,junk_section_share>=0.6,20260918T0131-7dd1a33
c0686,36,Implementation Arrangements and Support Plan,0.9722,23,junk_section_share>=0.6,20260918T0131-7dd1a33
c0687,274,Implementation Arrangements and Support Plan,0.9124,55,junk_section_share>=0.6,20260918T0131-7dd1a33
c0688,84,Implementation Arrangements and Support Plan,1.0,44,junk_section_share>=0.6,20260918T0131-7dd1a33
c0689,209,Fiduciary,0.9665,67,junk_section_share>=0.6,20260918T0131-7dd1a33
c0691,27,Implementation Arrangements and Support Plan,0.7407,17,junk_section_share>=0.6,20260918T0131-7dd1a33
c0692,125,Implementation Arrangements and Support Plan,0.96,48,junk_section_share>=0.6,20260918T0131-7dd1a33
c0693,31,Financial Management,0.7097,14,junk_section_share>=0.6,20260918T0131-7dd1a33
c0694,96,Implementation Arrangements and Support Plan,0.9062,48,junk_section_share>=0.6,20260918T0131-7dd1a33
c0695,66,Implementation Arrangements and Support Plan,0.9697,31,junk_section_share>=0.6,20260918T0131-7dd1a33
c0696,137,Implementation Arrangements and Support Plan,0.9927,47,junk_section_share>=0.6,20260918T0131-7dd1a33
c0697,62,Implementation Arrangements and Support Plan,0.8871,34,junk_section_share>=0.6,20260918T0131-7dd1a33
c0698,30,Implementation Arrangements and Support Plan,0.9667,19,junk_section_share>=0.6,20260918T0131-7dd1a33
c0701,60,Implementation Arrangements and Support Plan,0.9,36,junk_section_share>=0.6,20260918T0131-7dd1a33
c0702,39,Implementation Arrangements and Support Plan,0.9744,29,junk_section_share>=0.6,20260918T0131-7dd1a33
c0706,55,Implementation Arrangements and Support Plan,0.6364,34,junk_section_share>=0.6,20260918T0131-7dd1a33
c0718,86,Implementation Arrangements and Support Plan,0.9302,40,junk_section_share>=0.6,20260918T0131-7dd1a33
c0719,48,Implementation Arrangements and Support Plan,0.9375,31,junk_section_share>=0.6,20260918T0131-7dd1a33
c0720,25,Implementation Arrangements and Support Plan,0.88,15,junk_section_share>=0.6,20260918T0131-7dd1a33
c0721,74,Implementation Arrangements and Support Plan,0.9054,33,junk_section_share>=0.6,20260918T0131-7dd1a33
c0722,79,Implementation Arrangements and Support Plan,0.9494,40,junk_section_share>=0.6,20260918T0131-7dd1a33
c0766,30,KEY RISKS,0.9,18,junk_section_share>=0.6,20260918T0131-7dd1a33
c0767,36,RESULTS FRAMEWORK AND MONITORING,0.6111,12,junk_section_share>=0.6,20260918T0131-7dd1a33
c0792,26,Proposed Changes,0.0769,2,n_projects<3,20260918T0131-7dd1a33
