variant,package_key,package_id,project_id,description_lang,category,status,resolution,asset_class,group,term_len
deglued,P160766|TZ-MCIT-285550-NC-RFB,TZ-MCIT-285550-NC-RFB,P160766,en,non_consulting_services,signed,coarse,,telecom,
match_key,P160766|TZ-MCIT-285550-NC-RFB,TZ-MCIT-285550-NC-RFB,P160766,en,non_consulting_services,signed,coarse,,telecom,9
clean,P160766|TZ-MCIT-285632-NC-RFB,TZ-MCIT-285632-NC-RFB,P160766,en,non_consulting_services,signed,fine,mobile_towers,telecom,
deglued,P160766|TZ-MCIT-285632-NC-RFB,TZ-MCIT-285632-NC-RFB,P160766,en,non_consulting_services,signed,fine,mobile_towers,telecom,
match_key,P160766|TZ-MCIT-285632-NC-RFB,TZ-MCIT-285632-NC-RFB,P160766,en,non_consulting_services,signed,fine,mobile_towers,telecom,5
clean,P160766|TZ-MCIT-289679-CW-RFB,TZ-MCIT-289679-CW-RFB,P160766,en,works,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-289679-CW-RFB,TZ-MCIT-289679-CW-RFB,P160766,en,works,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-289679-CW-RFB,TZ-MCIT-289679-CW-RFB,P160766,en,works,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-300888-GO-RFB,TZ-MCIT-300888-GO-RFB,P160766,en,goods,signed,coarse,,telecom,
deglued,P160766|TZ-MCIT-300888-GO-RFB,TZ-MCIT-300888-GO-RFB,P160766,en,goods,signed,coarse,,telecom,
match_key,P160766|TZ-MCIT-300888-GO-RFB,TZ-MCIT-300888-GO-RFB,P160766,en,goods,signed,fine,dpi,platform,3
clean,P160766|TZ-MCIT-300894-CS-CQS,TZ-MCIT-300894-CS-CQS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-300894-CS-CQS,TZ-MCIT-300894-CS-CQS,P160766,en,consultant_services,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-300894-CS-CQS,TZ-MCIT-300894-CS-CQS,P160766,en,consultant_services,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-306158-NC-RFB,TZ-MCIT-306158-NC-RFB,P160766,en,non_consulting_services,signed,unresolved,,,
deglued,P160766|TZ-MCIT-306158-NC-RFB,TZ-MCIT-306158-NC-RFB,P160766,en,non_consulting_services,signed,unresolved,,,
match_key,P160766|TZ-MCIT-306158-NC-RFB,TZ-MCIT-306158-NC-RFB,P160766,en,non_consulting_services,signed,fine,mobile_towers,telecom,8
clean,P160766|TZ-MCIT-306161-GO-RFQ,TZ-MCIT-306161-GO-RFQ,P160766,en,goods,signed,unresolved,,,
deglued,P160766|TZ-MCIT-306161-GO-RFQ,TZ-MCIT-306161-GO-RFQ,P160766,en,goods,signed,unresolved,,,
match_key,P160766|TZ-MCIT-306161-GO-RFQ,TZ-MCIT-306161-GO-RFQ,P160766,en,goods,signed,unresolved,,,0
clean,P160766|TZ-MCIT-306312-GO-DIR,TZ-MCIT-306312-GO-DIR,P160766,en,goods,signed,unresolved,,,
deglued,P160766|TZ-MCIT-306312-GO-DIR,TZ-MCIT-306312-GO-DIR,P160766,en,goods,signed,unresolved,,,
match_key,P160766|TZ-MCIT-306312-GO-DIR,TZ-MCIT-306312-GO-DIR,P160766,en,goods,signed,unresolved,,,0
clean,P160766|TZ-MCIT-314850-CS-QCBS,TZ-MCIT-314850-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-314850-CS-QCBS,TZ-MCIT-314850-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-314850-CS-QCBS,TZ-MCIT-314850-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-314860-CS-CQS,TZ-MCIT-314860-CS-CQS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-314860-CS-CQS,TZ-MCIT-314860-CS-CQS,P160766,en,consultant_services,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-314860-CS-CQS,TZ-MCIT-314860-CS-CQS,P160766,en,consultant_services,cancelled,fine,fiber,telecom,4
clean,P160766|TZ-MCIT-331709-CS-CQS,TZ-MCIT-331709-CS-CQS,P160766,en,consultant_services,signed,unresolved,,,
deglued,P160766|TZ-MCIT-331709-CS-CQS,TZ-MCIT-331709-CS-CQS,P160766,en,consultant_services,signed,unresolved,,,
match_key,P160766|TZ-MCIT-331709-CS-CQS,TZ-MCIT-331709-CS-CQS,P160766,en,consultant_services,signed,unresolved,,,0
clean,P160766|TZ-MCIT-335718-CS-QCBS,TZ-MCIT-335718-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-335718-CS-QCBS,TZ-MCIT-335718-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-335718-CS-QCBS,TZ-MCIT-335718-CS-QCBS,P160766,en,consultant_services,cancelled,fine,fiber,telecom,4
clean,P160766|TZ-MCIT-345710-CS-QCBS,TZ-MCIT-345710-CS-QCBS,P160766,en,consultant_services,cancelled,fine,cybersecurity,platform,
deglued,P160766|TZ-MCIT-345710-CS-QCBS,TZ-MCIT-345710-CS-QCBS,P160766,en,consultant_services,cancelled,fine,cybersecurity,platform,
match_key,P160766|TZ-MCIT-345710-CS-QCBS,TZ-MCIT-345710-CS-QCBS,P160766,en,consultant_services,cancelled,fine,cybersecurity,platform,14
clean,P160766|TZ-MCIT-360210-NC-DIR,TZ-MCIT-360210-NC-DIR,P160766,en,non_consulting_services,signed,fine,mobile_towers,telecom,
deglued,P160766|TZ-MCIT-360210-NC-DIR,TZ-MCIT-360210-NC-DIR,P160766,en,non_consulting_services,signed,fine,mobile_towers,telecom,
match_key,P160766|TZ-MCIT-360210-NC-DIR,TZ-MCIT-360210-NC-DIR,P160766,en,non_consulting_services,signed,fine,mobile_towers,telecom,5
clean,P160766|TZ-MCIT-360329-CS-QCBS,TZ-MCIT-360329-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-360329-CS-QCBS,TZ-MCIT-360329-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-360329-CS-QCBS,TZ-MCIT-360329-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-363989-NC-DIR,TZ-MCIT-363989-NC-DIR,P160766,en,non_consulting_services,signed,unresolved,,,
deglued,P160766|TZ-MCIT-363989-NC-DIR,TZ-MCIT-363989-NC-DIR,P160766,en,non_consulting_services,signed,unresolved,,,
match_key,P160766|TZ-MCIT-363989-NC-DIR,TZ-MCIT-363989-NC-DIR,P160766,en,non_consulting_services,signed,fine,mobile_towers,telecom,8
clean,P160766|TZ-MCIT-364000-CS-INDV,TZ-MCIT-364000-CS-INDV,P160766,en,consultant_services,signed,unresolved,,,
deglued,P160766|TZ-MCIT-364000-CS-INDV,TZ-MCIT-364000-CS-INDV,P160766,en,consultant_services,signed,unresolved,,,
match_key,P160766|TZ-MCIT-364000-CS-INDV,TZ-MCIT-364000-CS-INDV,P160766,en,consultant_services,signed,unresolved,,,0
clean,P160766|TZ-MCIT-373215-NC-RFB,TZ-MCIT-373215-NC-RFB,P160766,en,non_consulting_services,cancelled,coarse,,telecom,
deglued,P160766|TZ-MCIT-373215-NC-RFB,TZ-MCIT-373215-NC-RFB,P160766,en,non_consulting_services,cancelled,coarse,,telecom,
match_key,P160766|TZ-MCIT-373215-NC-RFB,TZ-MCIT-373215-NC-RFB,P160766,en,non_consulting_services,cancelled,coarse,,telecom,9
clean,P160766|TZ-MCIT-377280-CW-RFB,TZ-MCIT-377280-CW-RFB,P160766,en,works,signed,unresolved,,,
deglued,P160766|TZ-MCIT-377280-CW-RFB,TZ-MCIT-377280-CW-RFB,P160766,en,works,signed,unresolved,,,
match_key,P160766|TZ-MCIT-377280-CW-RFB,TZ-MCIT-377280-CW-RFB,P160766,en,works,signed,unresolved,,,0
clean,P160766|TZ-MCIT-382925-NC-RFB,TZ-MCIT-382925-NC-RFB,P160766,en,non_consulting_services,signed,coarse,,telecom,
deglued,P160766|TZ-MCIT-382925-NC-RFB,TZ-MCIT-382925-NC-RFB,P160766,en,non_consulting_services,signed,coarse,,telecom,
match_key,P160766|TZ-MCIT-382925-NC-RFB,TZ-MCIT-382925-NC-RFB,P160766,en,non_consulting_services,signed,coarse,,telecom,9
clean,P160766|TZ-MCIT-382927-GO-RFB,TZ-MCIT-382927-GO-RFB,P160766,en,goods,signed,coarse,,telecom,
deglued,P160766|TZ-MCIT-382927-GO-RFB,TZ-MCIT-382927-GO-RFB,P160766,en,goods,signed,coarse,,telecom,
match_key,P160766|TZ-MCIT-382927-GO-RFB,TZ-MCIT-382927-GO-RFB,P160766,en,goods,signed,fine,dpi,platform,3
clean,P160766|TZ-MCIT-388518-CS-QCBS,TZ-MCIT-388518-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-388518-CS-QCBS,TZ-MCIT-388518-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-388518-CS-QCBS,TZ-MCIT-388518-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-388521-CS-QCBS,TZ-MCIT-388521-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-388521-CS-QCBS,TZ-MCIT-388521-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-388521-CS-QCBS,TZ-MCIT-388521-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-388523-CS-QCBS,TZ-MCIT-388523-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-388523-CS-QCBS,TZ-MCIT-388523-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-388523-CS-QCBS,TZ-MCIT-388523-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-393119-CS-QCBS,TZ-MCIT-393119-CS-QCBS,P160766,en,consultant_services,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-393119-CS-QCBS,TZ-MCIT-393119-CS-QCBS,P160766,en,consultant_services,cancelled,coarse,,platform,
match_key,P160766|TZ-MCIT-393119-CS-QCBS,TZ-MCIT-393119-CS-QCBS,P160766,en,consultant_services,cancelled,coarse,,platform,8
clean,P160766|TZ-MCIT-397296-GO-RFB,TZ-MCIT-397296-GO-RFB,P160766,en,goods,signed,fine,dpi,platform,
deglued,P160766|TZ-MCIT-397296-GO-RFB,TZ-MCIT-397296-GO-RFB,P160766,en,goods,signed,fine,dpi,platform,
match_key,P160766|TZ-MCIT-397296-GO-RFB,TZ-MCIT-397296-GO-RFB,P160766,en,goods,signed,fine,dpi,platform,27
clean,P160766|TZ-MCIT-398464-GO-RFB,TZ-MCIT-398464-GO-RFB,P160766,en,goods,cancelled,fine,cybersecurity,platform,
deglued,P160766|TZ-MCIT-398464-GO-RFB,TZ-MCIT-398464-GO-RFB,P160766,en,goods,cancelled,fine,cybersecurity,platform,
match_key,P160766|TZ-MCIT-398464-GO-RFB,TZ-MCIT-398464-GO-RFB,P160766,en,goods,cancelled,fine,cybersecurity,platform,14
clean,P160766|TZ-MCIT-423470-CS-QCBS,TZ-MCIT-423470-CS-QCBS,P160766,en,consultant_services,signed,unresolved,,,
deglued,P160766|TZ-MCIT-423470-CS-QCBS,TZ-MCIT-423470-CS-QCBS,P160766,en,consultant_services,signed,unresolved,,,
match_key,P160766|TZ-MCIT-423470-CS-QCBS,TZ-MCIT-423470-CS-QCBS,P160766,en,consultant_services,signed,coarse,,platform,8
clean,P160766|TZ-MCIT-424910-CS-CQS,TZ-MCIT-424910-CS-CQS,P160766,en,consultant_services,signed,unresolved,,,
