community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0402,164,126,45,37,0.5286,access_connectivity,0.371,0.0427,0.061,Project Components,0.2111,0.2956,0.6851,REF046,0.5648,shortlist,,20260918T0135-7dd1a33,discover-1
c0238,157,136,52,44,0.6286,cybersecurity,0.4017,0.0127,0.0764,Project Components,0.256,0.3721,0.7186,REF047,0.6339,shortlist,,20260918T0135-7dd1a33,discover-1
c0117,154,139,71,63,0.9,access_connectivity,0.7686,0.2727,0.1558,Project Beneficiaries,0.3252,0.2856,0.6687,REF005,0.442,shortlist,,20260918T0135-7dd1a33,discover-1
c0290,154,133,58,42,0.6,dpi,0.8102,0.3701,0.8377,Institutional and Implementation Arrangements,0.2751,0.285,0.6925,REF086,0.4108,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0304,154,141,69,63,0.9,access_connectivity,0.7042,0.0584,0.039,Relevance to Higher Level Objectives,0.3413,0.2837,0.7223,REF005,0.4041,shortlist,,20260918T0135-7dd1a33,discover-1
c0113,153,102,46,38,0.5429,access_connectivity,0.5959,0.0261,0.4379,Environmental and Social,0.2255,0.3531,0.7157,REF045,0.3704,shortlist,,20260918T0135-7dd1a33,discover-1
c0208,153,136,51,46,0.6571,access_connectivity,0.8376,0.0131,0.0784,Project Components,0.2338,0.3093,0.6693,REF059,0.3142,shortlist,,20260918T0135-7dd1a33,discover-1
c0326,153,132,71,55,0.7857,dpi,0.7958,0.0065,0.8627,Implementation Arrangements and Support Plan,0.3428,0.2709,0.705,REF005,0.4264,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0305,152,138,53,43,0.6143,access_connectivity,0.8173,0.0197,0.1053,Project Components,0.2721,0.3167,0.7497,REF005,0.4039,shortlist,,20260918T0135-7dd1a33,discover-1
c0190,150,148,53,48,0.6857,access_connectivity,0.7547,0.1333,0.1667,Project Components,0.2482,0.3285,0.6837,REF030,0.3762,shortlist,,20260918T0135-7dd1a33,discover-1
c0177,148,112,68,55,0.7857,dpi,0.0,0.277,0.9595,Implementation Arrangements and Support Plan,0.3683,0.2385,0.7908,REF079,0.3883,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
